Recursion Count, Time
2,3543176624
4,3478865879
6,3363268476
8,3365515492
10,3310296720
12,3305777817
14,3348244642
16,3354274600
18,3404297547
20,3435372048
22,3449672688
24,3441906341
26,3457109926
28,3463410577
30,3440599200
32,3474555212
34,3517570711
36,3511896313
38,3542937516
40,3563803299
42,3613298769
44,3627551715
46,3645022286
48,3664686018
50,3689864480
52,3692293147
54,3713510867
56,3663734132
58,3757042324
60,3767404760
62,3760264458
64,3823654127
66,3857129451
68,3864662847
70,3924797088
72,3939858146
74,3924310660
76,3999449660
78,3976673364
80,3999955203
82,4025987588
84,4035777721
86,4061902119
88,4069669499
90,4141617037
92,4152207073
94,4187940769
96,4206339297
98,4199678708
100,4162723689
102,4248349419
104,4274714420
106,4298971310
108,4335664853
110,4336065206
112,4356515291
114,4361521736
116,4348359427
118,4407000133
120,4416129021
122,4347305795
124,4153101665
126,4092357297
128,4044583447
130,4175940561
132,4189235739
134,4134957946
136,4132993441
138,4222092150
140,4256522288
142,4291267180
144,4235437223
146,4245069314
148,4267830331
150,4336591092
152,4405981628
154,4363102007
156,4468284873
158,4477779882
160,4404813744
162,4437308695
164,4462679070
166,4467911390
168,4496373341
170,4486255660
172,4569574450
174,4571342253
176,4569602117
178,4627090849
180,4601209242
182,4592016308
184,4607154974
186,4629302006
188,4694310285
190,4680002537
192,4781218192
194,4834261272
196,4725523245
198,4827542536
200,4796468938
202,4821105554
204,4925098756
206,4884713954
208,4923681476
210,4928198778
212,4909271493
214,4927132604
216,4937268510
218,4986670868
220,5020787978
222,5025324683
224,5024654935
226,5080197880
228,5092638017
230,5141115055
232,5122434664
234,5140894344
236,5191140646
238,5180603455
240,5202892106
242,5229853929
244,5289187800
246,5263042551
248,5319468729
250,5322755784
252,5375754441
254,5389304144
256,5405002835
258,5391945611
260,5398434554
262,5412727001
264,5527061052
266,5506414141
268,5514031626
270,5515057678
272,5607409417
274,5562498039
276,5531044134
278,5600252905
280,5634849313
282,5657023058
284,5690784310
286,5655197571
288,5718914482
290,5777912696
292,5856384211
294,5777835227
296,5869360064
298,5806329276
300,5887037386
